,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
207,1964,28,"+ 1h 16' 34""",Peugeot–BP–Englebert,Raymond Mastrotto ,FRA,34.0,1,16,0
208,1964,29,"+ 1h 18' 50""",Mercier–BP–Hutchinson,Paul Vermeulen ,FRA,50.0,1,18,0
209,1964,31,"+ 1h 28' 20""",Mercier–BP–Hutchinson,Jean Gainche ,FRA,20.0,1,28,0
210,1964,34,"+ 1h 33' 12""",Pelforth–Sauvage–Lejeune,Guy Epaud ,FRA,12.0,1,33,0
211,1964,35,"+ 1h 34' 10""",Saint-Raphaël–Gitane–Dunlop,Jean Stablinski ,FRA,10.0,1,34,0
212,1964,36,"+ 1h 37' 52""",Saint-Raphaël–Gitane–Dunlop,André Zimmerman ,FRA,52.0,1,37,0
213,1965,62,"+ 1h 16' 04""",Margnat–Paloma–Inuri–Dunlop,Jacques Bachelot ,FRA,4.0,1,16,0
214,1965,64,"+ 1h 20' 18""",Mercier–BP–Hutchinson,Robert Cazala ,FRA,18.0,1,20,0
215,1965,66,"+ 1h 22' 08""",Ford France–Gitane,Anatole Novak ,FRA,8.0,1,22,0
216,1965,71,"+ 1h 27' 06""",Mercier–BP–Hutchinson,Jean Gainche ,FRA,6.0,1,27,0
217,1965,75,"+ 1h 31' 07""",Mercier–BP–Hutchinson,Jean-Pierre Genet ,FRA,7.0,1,31,0
218,1965,82,"+ 1h 43' 26""",Pelforth–Sauvage–Lejeune,Jean-Claude Lefebvre ,FRA,26.0,1,43,0
219,1965,83,"+ 1h 43' 26""",Ford France–Gitane,Michel Grain ,FRA,26.0,1,43,0
220,1965,88,"+ 1h 48' 48""",Margnat–Paloma–Inuri–Dunlop,François Le Her ,FRA,48.0,1,48,0
221,1966,55,"+ 1h 00' 00""",Pelforth–Sauvage–Lejeune,Maurice Izier ,FRA,0.0,1,0,0
222,1966,57,"+ 1h 03' 21""",Peugeot–BP–Michelin,Désiré Letort ,FRA,21.0,1,3,0
223,1966,58,"+ 1h 05' 54""",Pelforth–Sauvage–Lejeune,Edouard Delberghe ,FRA,54.0,1,5,0
224,1966,59,"+ 1h 06' 26""",Kamomé–Dilecta–Dunlop,Maurice Benet ,FRA,26.0,1,6,0
225,1966,61,"+ 1h 09' 06""",Ford France–Hutchinson,Jean Stablinski ,FRA,6.0,1,9,0
